商品标题,商品规格,单价
【新街口】仅59.9元抢门市价158元5寸DIY戚风蛋糕，充分发挥自己的想象力  去创作，给你的TA独一无二的生日蛋糕~,,59.9
【全国40店|南京1912店、珠江路金鹰店、江宁金鹰店通用】仅138元抢原价316元鹿港小镇三人餐！鹿港三杯鸡+秘制牛小腿肉+台式香肠+特调奶茶…海派风情，台式浪漫，尽在这里！,,138.0
【新街口|泰式按摩】仅58元抢原价188元泰留莲泰式半身按摩！99元抢原价338元泰式古方按摩，158元抢538元芳香SPA！缓解压力首选泰式按摩~,套餐:A套餐：泰式半身 ,58.0
【新街口|泰式按摩】仅58元抢原价188元泰留莲泰式半身按摩！99元抢原价338元泰式古方按摩，158元抢538元芳香SPA！缓解压力首选泰式按摩~,套餐:B套餐：泰式古方,99.0
【弘阳未来世界水世界】仅29.9元享门市价50元一大一小套票，水世界畅玩~清凉解暑，狂欢假期，遛娃圣地！,,29.9
【江宁区】109元享门市价279元牛尚鲜潮汕鲜牛肉2-3人火锅套餐，高钙牛骨原汤锅底、嫩肉、吊龙、匙柄、牛舌、五花腱，用简单的汤底还原牛肉本质的鲜香  让你重新认识这一份鲜牛肉,,109.0
【全国60多家民宿通用|免押金订房】仅888元抢原价1288元何所忆民宿卡！ 不限次数，不限房型，不限时间，无需押金！全国30城，莫干山/千岛湖/乌镇/苏州/无锡/宜兴/黄山等60家民宿一年免费住！,,888.0
【枫彩漫城/风情节狂欢！】仅9.9元抢原价90元1大1小亲子套餐，畅玩景区！百亩梦幻花海，还有超多娱乐尽在枫彩漫城等你~,,9.9
【全国包邮】仅9.9元抢原价29元佬食仁休闲零食！多味豌豆/夹心雪媚娘/沙琪玛 3选1！追剧、办公、闲暇时光必备零食~,,9.9
【禾食·鲍鱼鸡 河西万达】仅88元购门市价307元2~3人餐：农家走地鸡＋人参60g+美国肥牛＋手打牛肉滑＋菌菇拼盘＋娃娃菜＋冬瓜＋莴笋＋拉面＋奶黄包＋白茶乌龙，美容养颜，安排上~,,88.0
测试虚拟商品,,1.0
【3号线浮桥站】仅68元抢门市价1280元美范美肤塑形套餐六种项目项目任选两种，让您在变美的路上一去不复返！	,,68.0
【新街口】8.8元抢原价35元极爪爪招牌椒麻鸡胗+红椒麻豆皮，19.9元抢原价53元极爪爪招牌椒麻鸡胗+招牌麻椒鸡拐，鲜香麻辣安排上~,极爪爪:A套餐 ,8.8
【仅限江浙沪皖】89元抢原价198元澳领牛排A套餐：手工西冷牛排8片，139元抢原价358元B套餐：手工眼肉牛排3片+手工菲力牛排150克3片+手工西冷牛排100片5片！,套餐:A套餐:手工西冷牛排8片 ,89.0
【新街口莱迪】16.8元抢原价41元百真冰淇淋双人套餐西瓜仙子+奥利奥风暴中杯，和好友一起分享甜蜜吧~,,16.8
【新街口】8.8元抢原价35元极爪爪招牌椒麻鸡胗+红椒麻豆皮，19.9元抢原价53元极爪爪招牌椒麻鸡胗+招牌麻椒鸡拐，鲜香麻辣安排上~,极爪爪:B套餐,19.9
【直播间限时秒杀】【禾食·鲍鱼鸡 河西万达】仅79元购门市价307元2~3人餐：农家走地鸡＋人参60g+美国肥牛＋手打牛肉滑＋菌菇拼盘＋娃娃菜＋冬瓜＋莴笋＋拉面＋奶黄包＋白茶乌龙，美容养颜，安排上~,,79.0
【直播间限时秒杀】【KFC肯德基/全国通用】仅79元 抢门市价131元香辣鸡腿堡一个，新奥尔良鸡腿堡一个，吮指原味鸡块一块，香辣黄金鸡柳一份（4个）香辣鸡翅两个，劲爆鸡米花一份，葡式蛋挞一个，薯条一份（大），九珍果汁2杯,,79.0
【直播限时秒杀】【两店通用】仅21.9元抢原价69元苏蜀自助小火锅单人午市自助，31.9元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,套餐:B套餐：单人晚市火锅自助,31.9
【直播间限时秒杀】【新街口】1.9元抢原价35元极爪爪招牌椒麻鸡胗+红椒麻豆皮，鲜香麻辣安排上~,,1.9
【直播间限时秒杀】【贤合庄/全国包邮】仅12.9元抢原价35.8元贤合庄鲜蔬自热小火锅两盒，三大明星联手打造，15分钟方便速食，美味随时享受！,,12.9
【直播间限时秒杀】【全国包邮】仅5.9元抢原价29元佬食仁休闲零食！多味豌豆/夹心雪媚娘/沙琪玛 3选1！追剧、办公、闲暇时光必备零食~,,5.9
【棒约翰】【南京两店通用】69.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】2选1+【小食】4选1+【饮品3选3】可复选，无限续杯,,69.9
【直播间限时秒杀】【新街口莱迪】9.9元抢原价41元百真冰淇淋双人套餐西瓜仙子+奥利奥风暴中杯，和好友一起分享甜蜜吧~,,9.9
【晚餐三店通用】仅28元抢原价69元苏蜀自助小火锅单人午市自助，38元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,套餐:A套餐：单人午市火锅自助 ,28.0
【直播限时秒杀】【两店通用】仅21.9元抢原价69元苏蜀自助小火锅单人午市自助，31.9元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,套餐:A套餐：单人午市火锅自助 ,21.9
【直播后恢复爆品价】【两店通用】仅28元抢原价69元苏蜀自助小火锅单人午市自助，38元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,套餐:B套餐：单人晚市火锅自助,38.0
【光华路石林家具城】仅9.9元抢原价28元飞师傅烤排饭1份！牛排一份，蔬菜两份，卤蛋一个，小菜一份，米饭一份！,,9.9
【晚餐三店通用】仅28元抢原价69元苏蜀自助小火锅单人午市自助，38元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,套餐:B套餐：单人晚市火锅自助,38.0
【直播间限时秒杀】【新街口】11.9元抢原价53元极爪爪招牌椒麻鸡胗+招牌麻椒鸡拐，鲜香麻辣安排上~,,11.9
【全国包邮】仅49.9元抢原价132元500g长白山雪蜜！源自长白山原始森林，给你最纯正、自然的蜂蜜~,,49.9
【高淳富克斯一楼】仅9.9元抢原价18元普咔奶茶2杯！布丁奶茶， 有料奶茶 ，元气奶茶 3选2！超火的韩国人气奶茶，快和闺蜜一起分享,,9.9
【仅限南京地区发货|顺丰包邮】仅69.9元抢原价99元卡士高端酸奶套餐！整整15杯酸奶！125g 原态酪乳3杯+120g 鲜酪乳3杯+100g 果粒系列3杯+100g风味发酵乳6杯 ,,69.9
【KFC肯德基/全国通用】仅88元 抢门市价131元香辣鸡腿堡+新奥尔良鸡腿堡+吮指原味鸡块+香辣黄金鸡柳+香辣鸡翅+劲爆鸡米花+葡式蛋挞+薯条+九珍果汁,,88.0
【全国包邮】仅19.9元抢门市价24.7元小样自热煲仔饭2盒装！口味4选2+乳酸菌2瓶！红烧牛肉/番茄牛肉/红烧狮子头/川味香肠，随时随地都能吃的煲仔饭~,,19.9
【仅限江浙沪皖】89元抢原价198元澳领牛排A套餐：手工西冷牛排8片，139元抢原价358元B套餐：手工眼肉牛排3片+手工菲力牛排150克3片+手工西冷牛排100片5片！,套餐:B套餐:手工眼肉牛排3片 手工菲力牛排3片 手工西冷牛排5片,139.0
【高淳老街花涧堂】68元抢原价128元双人餐，149.8元抢原价298元3~5人餐，249.8元抢原价498元6~8人餐，美景美食这里都有~快来打卡,套餐:6-8人餐,249.8
【无锡融创文旅城】仅499元强门市价1280元家庭套餐 ，2大2小/2大1小通用  融创乐园/水世界/海世界，超长有效期至年底！！！  ,,499.0
商品标题,商品规格,15
【仅限江浙沪发货】仅39.9元抢原价64元70-80g凤凰紫桃6斤装，49.9元抢原价82元80-100g紫桃6斤装！营养超丰富的紫桃，绝对值得一尝~,套餐:B套餐：80-100g紫桃6斤装,49.9
【全国包邮|香奈儿】仅158元抢原价330元香奈儿炫亮魅力口红1支！9款色号任选其一，知名大牌口红，精致女孩儿怎么能没有一支~,,158.0
【高淳老街花涧堂】68元抢原价128元双人餐，149.8元抢原价298元3~5人餐，249.8元抢原价498元6~8人餐，美景美食这里都有~快来打卡,套餐:双人餐 ,68.0
【全国300+精品酒店免费住】仅668元抢“任享无限次-免费住酒店”随处·畅住卡2年使用期！超长使用期！全国有300多家精品酒店，不限次数！不限地区！不限房型！免费住~,,668.0
【仅限江浙沪发货】仅39.9元抢原价64元70-80g凤凰紫桃6斤装，49.9元抢原价82元80-100g紫桃6斤装！营养超丰富的紫桃，绝对值得一尝~,套餐:A套餐：70-80g紫桃6斤装 ,39.9
【新街口|苏香食里美食广场】仅29.9元抢原价96元蒸菜世家双人套餐！经典大盘鸡1份+蒸蛋1份分+凉拌土豆丝1份+米饭2份+饮料2杯 ！,,29.9
【新街口大洋百货】仅88元抢原价206元百岁我家酸菜鱼2-3人餐！招牌酸菜鱼+金牌培根+蔬菜拼盘+爽脆木耳+饮品2杯+米饭2碗！,,88.0
【仅限江浙沪地区发货】仅19.9元抢原价36元砀山皇冠梨5斤装！来自“梨都砀山”的皇冠梨，入口流汁，夏日解暑必备~,,19.9
【江浙沪124家门店通用|南京22家门店】仅88元抢原价175元 DQ冰激凌迷你90g装x5桶 ，99元抢原价178元分享400g装x2桶，四种口味任选,套餐:A：DQ冰激凌迷你90g装x5桶 ,88.0
【江宁翠屏国际】仅39抢原价129元沐槿宫成人洗浴澡资！99抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,套餐:A套餐：成人洗浴澡资 ,39.0
【仅限直播间秒杀】【14店通用】6.9元抢门市价21元 石上百味黑椒鸡腿饭，仅限直播间，这么实惠，小伙伴们买到就是赚到呀！,,6.9
【直播间限时秒杀】仅14.9元抢门市价24.7元小样自热煲仔饭2盒装！口味4选2+乳酸菌2瓶！红烧牛肉/番茄牛肉/红烧狮子头/川味香肠，随时随地都能吃的煲仔饭~,,14.9
【直播间限时秒杀】仅13.9元抢原价36元砀山皇冠梨5斤装！来自“梨都砀山”的皇冠梨，入口流汁，夏日解暑必备~,,13.9
【直播限时秒杀】仅29元抢原价129元沐槿宫成人洗浴澡资！89元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,规格:B套餐：亲子洗浴澡资 自助晚餐,89.0
【直播限时秒杀】仅29元抢原价129元沐槿宫成人洗浴澡资！89元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,规格:A套餐：成人洗浴澡资 ,29.0
【江宁翠屏国际】仅39元抢原价129元沐槿宫成人洗浴澡资！99元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,套餐:A套餐：成人洗浴澡资 ,39.0
【直播间限时秒杀】仅49.9元抢原价207元羊老爷新品花椒鱼！四斤花椒鱼+四份蔬菜+两份米饭+两杯饮料！又麻又辣，朋友聚餐的绝佳选择~,,49.9
【直播间限时秒杀】【南京两店通用】61.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】2选1+【小食】4选1+【饮品3选3】可复选，无限续杯,,61.9
【江宁翠屏国际】仅39元抢原价129元沐槿宫成人洗浴澡资！99元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,套餐:B套餐：亲子洗浴澡资 自助晚餐,99.0
【直播间限时秒杀】仅21.9元享门市价50元一大一小套票，水世界畅玩~清凉解暑，狂欢假期，遛娃圣地！,,21.9
【全国通用】仅450元抢门市价688元寄居蟹旅行民宿次卡！全国80家精品民宿任你选，快来一次说走就走的旅行~,,450.0
【水西门大街】仅78元抢原价207元羊老爷新品花椒鱼！四斤花椒鱼+四份蔬菜+两份米饭+两杯饮料！又麻又辣，朋友聚餐的绝佳选择~,,78.0
【直播结束恢复原价】仅19.9元抢原价36元砀山皇冠梨5斤装！来自“梨都砀山”的皇冠梨，入口流汁，夏日解暑必备~,,19.9
【直播结束恢复原价】【南京两店通用】69.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】2选1+【小食】4选1+【饮品3选3】可复选，无限续杯,,69.9
【新街口莱迪】8.9元抢原价15元陈记超值套餐，陈记秘制老长沙臭豆腐+里脊串，还不赶紧去打卡~~,,8.9
【全国包邮|买一赠一】仅39.9元抢原价118元修正药业除螨包，每袋10包/每包10g，天然草本萃取，温和呵护，轻松除螨,,39.9
【两店通用】仅99元抢原价325元炉子旁烤肉2-3人餐！六款火爆肉食+生菜+裙带菜汤+酱料+气泡水3杯！网红烤肉盛宴等你来打卡~,,99.0
【浦口区|金盛田广场】仅88元抢原价286元鲜牛社烤肉2-3人餐！原切西冷牛排+厚切牛舌+培根金针菇+台式纯肉肠+奥尔良鸡腿排+烤无骨鱼片，更有饮品水果，绝对丰富~,,88.0
【仅限南京地区发货】仅63.9元抢原价79元 元气森林无糖苏打气泡水白桃味15瓶装！480ml/瓶！健康+好喝，乘风破浪的绮绮子也在喝~,,63.9
【江宁托乐嘉花园】仅49.9元抢原价180元PICK HQ音乐餐吧A套餐！百威冰啤12瓶+小吃一份+果盘一份！69.9元抢原价200元B套餐：盖浇饭一份+披萨一份+炸小串一份+百威冰啤2瓶 ,套餐:B套餐：盖浇饭 披萨 炸小串 冰啤,69.9
【全国包邮】仅13.9元抢原价35元高品质编织一拖三充电数据线1根！超长1.2米！可充3种设备，安卓、苹果和Type-C三种接口,,13.9
【直播间限时秒杀】【新街口莱迪】2.9元抢原价15元陈记超值套餐，陈记秘制老长沙臭豆腐+里脊串，还不赶紧去打卡~~,,2.9
【直播间限时秒杀】【42店通用/南京 镇江 马鞍山】6.9元抢原价60元特惠洗车套餐：标准洗车+安全检测+玻璃水；错过等一年！全国连锁！,,6.9
【森林摩尔艺术时尚街区】仅29.9元抢门市价80元居老汉罐罐饭双人餐，冬瓜海带排骨汤、土豆煨牛腩、养生蒸鸡蛋两份、精美小菜两份、酸梅汤两份、米饭两份,,29.9
【直播间限时秒杀】【全国300+精品酒店免费住】仅568元抢“任享无限次-免费住酒店”随处·畅住卡2年使用期！超长使用期！全国有300多家精品酒店，不限次数！不限地区！不限房型！免费住~,,568.0
直播秒杀【怡康街】仅29.9元抢门市价103元炮锅蛙蛙叫肥肠鸡双人套餐，鲜香麻辣，让你食欲大开！,,29.9
【高淳富克斯广场】仅5.9元抢原价25元时代影城单人3D观影票！《大鱼海棠》《哪吒之魔童降世》高水准国漫电影，一部都不容错过!,套餐:16日晚7点《哪吒之魔童降世》,5.9
【直播间限时秒杀】【两店通用】仅88元抢原价325元炉子旁烤肉2-3人餐！六款火爆肉食+生菜+裙带菜汤+酱料+气泡水3杯！网红烤肉盛宴等你来打卡~,,88.0
【直播间限时秒杀】【全国包邮】仅8.9元抢原价35元高品质编织一拖三充电数据线1根！超长1.2米！可充3种设备，安卓、苹果和Type-C三种接口,,8.9
【高淳富克斯广场】仅5.9元抢原价25元时代影城单人3D观影票！《大鱼海棠》《哪吒之魔童降世》高水准国漫电影，一部都不容错过!,套餐:15日晚7点《大鱼海棠》 ,5.9
【直播间限时秒杀】【仅限南京地区发货】仅56元抢原价79元 元气森林无糖苏打气泡水白桃味15瓶装！480ml/瓶！健康+好喝，乘风破浪的绮绮子也在喝~,,56.0
【直播间限时秒杀】【江宁翠屏国际】89元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,,89.0
【两店通用】【韩熙&纯色】仅29元抢门市价588元美肤套餐， 护肤流程步骤多到惊掉你的下巴专业、细致、全面、周到让你素颜出门也OK！！！,,29.0
【限南京配送】仅78元抢原价198元春甜花花11支玫瑰礼盒！仅88元抢原价228元春甜花花 I LOVE YOU 红色玫瑰礼盒！给你心里的那个TA送一束爱意满满的玫瑰吧！,CHUN:A：11支玫瑰礼盒 ,78.0
【直播间限时秒杀】【全国包邮|买一赠一】仅31元抢原价118元修正药业除螨包，每袋10包/每包10g，天然草本萃取，温和呵护，轻松除螨,,31.0
【玄武区/碑亭巷】仅29.9元抢原价105元源记潮汕砂锅粥套餐芹菜干贝肉松砂锅粥一份，独家手工葱油饼一份，小菜两碟,,29.9
【直播后恢复爆品价】【42店通用/南京 镇江 马鞍山】9.9元抢原价60元特惠洗车套餐：标准洗车+安全检测+玻璃水；错过等一年！全国连锁！,,9.9
【地铁2号线苜蓿园站】仅128元抢原价429元蜀嘟宽窄巷子火锅2-3人餐！锅底+极品鲜脆四拼+精品肥牛1号+特色丸类双拼+极品耗儿鱼……6荤4素，还有小吃、饮品，超值~,,128.0
【怡康街】仅39.9元抢门市价103元炮锅蛙蛙叫肥肠鸡双人套餐，鲜香麻辣，让你食欲大开！,,39.9
【直播间限时秒杀】【江宁翠屏国际】仅29元抢原价129元沐槿宫成人洗浴澡资！享受休闲养生，尽在沐槿宫~,,29.0
【常州天目湖】仅399元抢原价699元松岭竹海度假区夜晚漂流套餐！斯维登酒店 大/双床住宿1晚（含双早）+锦香阁两大一小套餐+两大一小葡萄采摘+竹海夜漂门票两张（可游玩松岭夜场活动，送荧光装备两套）,,399.0
开业预售【地铁2号线奥体东站|四季足道公馆】仅69元抢原价159元四季春香足浴60分钟套餐！足疗+洗浴+餐饮！养生放松从足开始~,套餐:A：四季春香足浴60分钟套餐 ,69.0
【限南京配送】仅78元抢原价198元春甜花花11支玫瑰礼盒！仅88元抢原价228元春甜花花 I LOVE YOU 红色玫瑰礼盒！给你心里的那个TA送一束爱意满满的玫瑰吧！,CHUN:B: I LOVE YOU 红色玫瑰 礼盒 （22-26朵）,88.0
【42店通用/南京 镇江 马鞍山】9.9元抢原价60元特惠洗车套餐：标准洗车+安全检测+玻璃水；爆品返场！全国连锁！,,9.9
【玄武区|钟鼎名悦广场】仅150元抢原价256元嘎嘎香羊蝎子牛骨双人自助餐！ 羊蝎子、牛骨、蔬菜、菌菇、各类丸子、多种凉菜不限量，啤酒、饮料畅饮！,,150.0
【直播后恢复爆品价】【全国300+精品酒店免费住】仅668元抢“任享无限次-免费住酒店”随处·畅住卡2年使用期！超长使用期！全国有300多家精品酒店，不限次数！不限地区！不限房型！免费住~,,668.0
【建邺|缤润汇】仅39元抢原价580元HANA美学皮肤管理中心酵素浴套餐！日本暴瘦酵素浴+肌底深层净化+冰雪女神素颜水光肌，明星们都爱泡~,,39.0
【直播间后恢复爆品价】【全国包邮】仅13.9元抢原价35元高品质编织一拖三充电数据线1根！超长1.2米！可充3种设备，安卓、苹果和Type-C三种接口,,13.9
【高淳富克斯广场】仅0.99元抢原价25元时代影城《战狼2》单人公益观影票！本周五晚7点和小伙伴一起来感受祖国的强大！热血沸腾！,,0.99
【富克斯广场】仅28.8元抢原价118元富庄特色餐厅纸包鱼一份！鲜嫩烤鱼搭配秘制酱料，舌尖上的美味等你来尝~,,28.8
【建邺水西门大街|盘子女人坊】仅49.9元抢原价859元盘子女人坊单人定制摄影套餐！服装+造型妆面+7寸台历一本（含5张照片）+2张精修底片+2张钱包照+16寸放大海报一张 ,,49.9
【常州天目湖】仅69元抢原价128元松岭竹海夜公园+夜间漂流项目联票1张，送荧光装备1套，闯入光影世界忘却烦恼，寻找到快乐,,69.0
【银杏湖乐园】仅210元抢原价520元双人全天门票！畅玩所有游乐区体验设备、生态区、夜公园、水世界！这个夏天就去银杏湖乐园~,,210.0
【秦淮区|仙鹤街】仅99元抢原价237元蚝鲜生加油站双人套餐！3只生蚝大号+ 3只葱油小鲍鱼+ 柠香炙烤多宝鱼+ 辣炒花蛤+3串烤青椒脆骨+3串烤掌中宝+3串澳洲大串！,,99.0
【江宁托乐嘉花园】仅49.9元抢原价180元PICK HQ音乐餐吧A套餐！百威冰啤12瓶+小吃一份+果盘一份！69.9元抢原价200元B套餐：盖浇饭一份+披萨一份+炸小串一份+百威冰啤2瓶 ,套餐:A套餐：百威12瓶 小吃 果盘 ,49.9
【全国包邮】108元抢原价398元LAMER海蓝之谜面霜 7ml 小样1瓶，118元抢原价430元LAMER海蓝之谜眼霜5ml小样1瓶，贵妇级护肤品牌,海蓝之谜:眼霜5ml,118.0
【全国包邮】仅19.9元抢门市价24.7元小样自热煲仔饭2盒装！口味4选2+乳酸菌2瓶！红烧牛肉/番茄牛肉（已售罄）/红烧狮子头/川味香肠，随时随地都能吃的煲仔饭~,,19.9
【全国26家门店通用|盘子女人坊】仅49.9元抢原价859元盘子女人坊单人定制摄影套餐！服装+造型妆面+7寸台历一本（含5张照片）+2张精修底片+2张钱包照+16寸放大海报一张 ,,49.9
【全国包邮】108元抢原价398元LAMER海蓝之谜面霜 7ml 小样1瓶，118元抢原价430元LAMER海蓝之谜眼霜5ml小样1瓶，贵妇级护肤品牌,海蓝之谜:面霜7ml ,108.0
开业预售【地铁2号线奥体东站|四季足道公馆】仅69元抢原价159元四季春香足浴60分钟套餐！足疗+洗浴+餐饮！养生放松从足开始~,套餐:B：四季秋香足浴80分钟套餐,109.0
【雨润大街地铁站3号口】仅99元抢原价780元Venus皮肤管理中心SPA套餐！128元抢原价880元美肤套餐！奢华贵妇级法尔曼精华补水管理在等你~,套餐:美肤套餐,128.0
【地铁2号线奥体东站|四季足道公馆】仅69元抢原价159元四季春香足浴60分钟套餐！足疗+洗浴+餐饮！养生放松从足开始~,套餐:B：四季秋香足浴80分钟套餐,109.0
【地铁2号线奥体东站|四季足道公馆】仅69元抢原价159元四季春香足浴60分钟套餐！足疗+洗浴+餐饮！养生放松从足开始~,套餐:A：四季春香足浴60分钟套餐 ,69.0
【江宁同曦万尚城】仅69元抢原价190元鱼介碳烤鱼A：烤鱼套餐！湄公鱼一条+配菜+小吃2份！99元抢原价239元B：肉蟹煲套餐！ 梭子蟹1份+配菜+小吃,套餐:B：肉蟹煲套餐,99.0
【江宁同曦万尚城】仅69元抢原价190元鱼介碳烤鱼A：烤鱼套餐！湄公鱼一条+配菜+小吃2份！99元抢原价239元B：肉蟹煲套餐！ 梭子蟹1份+配菜+小吃,套餐:A：烤鱼套餐 ,69.0
【高淳富克斯广场】仅6.9元抢原价25元时代影城单人观影票！《美人鱼》《夏洛特烦恼》《捉妖记》国产喜剧佳片，欢乐开场~,影片:《捉妖记》8月23日晚19:30,6.9
【江浙沪包邮】仅39元抢原价70元依云矿泉水喷雾2瓶装（50ml/瓶）源自法国阿尔卑斯山冰川矿泉水，小分子矿物质更易吸收，这个夏天补水不能落下哦~,,39.0
【直播间限时抢购】仅14.9元抢门市价24.7元小样自热煲仔饭2盒装！红烧狮子头自热饭2盒+乳酸菌2瓶！随时随地都能吃的煲仔饭~,,14.9
【限南京（高淳、溧水不送）顺丰冷链配送/慢面包榴莲千层】仅28.8抢门市价68元一个/39.8元抢门市价136元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢:B:两个千层蛋糕，四寸,39.8
【仅限江浙沪皖发货】仅88元抢原价198元澳领菲力黑椒牛排套餐！菲力黑椒牛排*15片（80克），送刀叉；美味调理牛排，肉欲满满~,,88.0
【直播间限时秒杀】【森林摩尔艺术时尚街区】仅21元抢门市价80元居老汉罐罐饭双人餐，冬瓜海带排骨汤、土豆煨牛腩、养生蒸鸡蛋两份、精美小菜两份、酸梅汤两份、米饭两份,,21.0
【直播间限时抢购】【仅限南京地区下单|顺丰包邮】仅59.9元抢原价90元卡士高端酸奶套餐！ 原态酪乳2杯+鲜酪乳6杯+风味发酵乳6杯 +餐后1小时1瓶 ，优质酸奶就选卡士~,,59.9
【直播间限时抢购】【限南京顺丰冷链配送/慢面包榴莲千层】仅19.9抢门市价68元一个/31.9元抢门市价136元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢面包:一个4寸榴莲千层 ,19.9
【夫子庙】祛痘套餐男女通用！36元抢购原价580元痘院长皮肤管理套餐，高频肌底深洁+舒缓离子毛囊雾化+草莓鼻去黑头+ACC局部祛痘+瑞士冰川补水+美颜红蓝光照射 ，6大项目！超值！,,36.0
【限南京（高淳、溧水不送）顺丰冷链配送/慢面包榴莲千层】仅28.8抢门市价68元一个/39.8元抢门市价136元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢:A：一个榴莲千层，四寸 ,28.8
【高淳富克斯广场】仅19.8元抢原价33元时代影城《八佰》单人观影票！淞沪会战的最后一役热血上映！,场次:8月22日本周六下午16:00  ,19.8
【直播间限时抢购】【限南京顺丰冷链配送/慢面包榴莲千层】仅19.9抢门市价68元一个/31.9元抢门市价136元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢:A：一个榴莲千层，四寸 ,19.9
【直播间限时抢购】【限南京顺丰冷链配送/慢面包榴莲千层】仅19.9抢门市价68元一个/31.9元抢门市价136元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢面包:两个4寸榴莲千层,31.9
【直播间限时抢购】【全国300+精品酒店免费住】仅568元抢“任享无限次-免费住酒店”随处·畅住卡2年使用期！超长使用期！全国有300多家精品酒店，不限次数！不限地区！不限房型！免费住~,,568.0
【直播间限时抢购】【限南京顺丰冷链配送/慢面包榴莲千层】仅19.9抢门市价68元一个/31.9元抢门市价136元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢:B:两个千层蛋糕，四寸,31.9
【两店通用】仅29.9元抢原价58元麦雪尔单人下午茶套餐！奶茶小姐盒子蛋糕一份+现磨咖啡一杯！79.9元抢原价134元双人下午茶套餐！快来享受甜蜜下午茶吧~,套餐:A：单人下午茶套餐 ,29.9
【高淳富克斯广场】仅19.8元抢原价33元时代影城《八佰》单人观影票！淞沪会战的最后一役热血上映！,场次:8月22日本周六晚19:45,19.8
【限南京（高淳、溧水不送）顺丰冷链配送/慢面包榴莲千层】仅28.8抢门市价88元一个/39.8元抢门市价176元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢:B:两个千层蛋糕，四寸,39.8
【直播间限时抢购】【限南京配送】仅66元抢原价198元春甜花花11支玫瑰礼盒！仅66元抢原价228元春甜花花 I LOVE YOU 红色玫瑰礼盒！给你心里的那个TA送一束爱意满满的玫瑰吧！,花:11支玫瑰礼盒 ,66.0
【直播间限时抢购】【两店通用】仅22.9元抢原价58元麦雪尔单人下午茶套餐！奶茶小姐盒子蛋糕一份+现磨咖啡一杯！79.9元抢原价134元双人下午茶套餐！快来享受甜蜜下午茶吧~,直播:B:  双人套餐,69.9
【直播间限时抢购】仅49.9元抢138元大塘金通票一张！漫步天宫云端，享受梦幻灯光~,,49.9
【直播间限时抢购】【限南京配送】仅66元抢原价198元春甜花花11支玫瑰礼盒！仅66元抢原价228元春甜花花 I LOVE YOU 红色玫瑰礼盒！给你心里的那个TA送一束爱意满满的玫瑰吧！,花: I LOVE YOU 红色玫瑰 礼盒 （22-26朵）,66.0
【限南京（高淳、溧水不送）顺丰冷链配送/慢面包榴莲千层】仅28.8抢门市价88元一个/39.8元抢门市价176元两个， 和心爱的TA分享，简直Sweet♥到爆！,慢:A：一个榴莲千层，四寸 ,28.8
【直播间限时抢购】【江浙沪包邮】仅29元抢原价70元依云矿泉水喷雾2瓶装（50ml/瓶）源自法国阿尔卑斯山冰川矿泉水，小分子矿物质更易吸收，这个夏天补水不能落下哦~,,29.0
【直播间限时抢购】【秦淮区|仙鹤街】仅89.9元抢原价237元蚝鲜生加油站双人套餐！3只生蚝大号+ 3只葱油小鲍鱼+ 柠香炙烤多宝鱼+ 辣炒花蛤+3串烤青椒脆骨+3串烤掌中宝+3串澳洲大串！,,89.9
【直播结束恢复爆品价】【限南京配送】仅78元抢原价198元春甜花花11支玫瑰礼盒！仅88元抢原价228元春甜花花 I LOVE YOU 红色玫瑰礼盒！给你心里的那个TA送一束爱意满满的玫瑰吧！,CHUN:A：11支玫瑰礼盒 ,78.0
【淮安盱眙|老子山温泉山庄】仅248元抢原价988元两大一小畅玩票！老子山行政酒店豪华标间房一晚+两大一小洪泽湖豪华游艇票+两大一小老子山冰泉套票+万亩荷塘浮桥赏花+两大一小自助早餐,,248.0
【仅限南京地区下单|顺丰包邮】仅69.9元抢原价90元卡士高端酸奶套餐！ 原态酪乳2杯+鲜酪乳6杯+风味发酵乳6杯 +餐后1小时1瓶 ，优质酸奶就选卡士~,,69.9
