商品标题,一级（是否为实体）,二级-三级-四级,时间,地域
【鼓楼|巷陌繁花酒吧】酒吧中的王炸来了！19.9元=门市价310元12瓶啤酒+2份坚果，/莫吉托一扎/长岛冰茶一扎二选 一+ 干果2份 。29.9元抢门市价416元欧卡尼香槟一支+精美果盘一份 带你嗨翻整个长夜！！！,0,n,,
【炙久家烤肉】吾悦广场|金陵老牌烤肉店，7层网红阶梯烤肉来袭，肉肉满满吃到爽！99元2～3人烤肉套餐！空运自澳洲的和牛烤肉,0,a-5,,
【金轮国际广场】仅19.9元抢门市价720元千俪佳美美容养生套餐，面部SPA活水注氧1次， 冬季龙脊升阳2次， 中医经络减肥3次，超级划算！ ,0,k,,
直播秒杀【全国通用】19.9元抢门市价33元肯德基老北京鸡肉卷两份，性价比超高，还在等啥？赶紧抢啊！,0,a-1-1,限时,
【玄武诺富特酒店|自助餐】仅128元抢门市价228元一大一小自助餐，自助餐重磅升级 三文鱼又回来啦！ 品种繁多，口味丰富 红柳枝烤羊肉、碳烤生蚝、香辣冷串 花式美味，期待您的品鉴,0,a-8,,
直播秒杀【小龙坎麻辣小火锅超值来袭！火锅界人气王！】仅29.9元=3盒！享门市价79元三盒即食小火锅！精选食材搭配醇香牛油，随时随地畅享麻辣鲜香、爽爆味蕾的地道成都火锅！,0,a-3/a-4,限时,
直播秒杀【珠江路地铁口|重庆火椒鱼】仅69元抢门市价216元双人套餐，炭火美蛙五选一+随机配菜4种+酸梅汤一扎+2份米饭,0,a-3/a-13,限时,
【新街口|泰式按摩】仅99元抢原价338元泰式古方按摩！128元抢原价418元泰式精油按摩，99元抢198元芳养生按摩：淋巴排毒/头疗/肾保养/卵巢保养，四选 一,0,h,,
"直播秒杀【全国包邮】仅19.9元抢门市价39元奇亚籽谷物酸奶果粒麦片420克*2袋 ,五选 二 ，低温烘培非油炸，香脆不上火。",1,a-1/a-5,限时,
【苏蜀传奇旋转小火锅】单人自助火锅+自助烧烤+饮料+冰激凌+水果，29.9元随便吃！这个老板到底闹哪样？超多菜品等你来解锁，还不来盘！,0,a-2/a-4/a-8,,
【高淳金沙水城】39.9元抢原价59元单人浴资+自助餐，各种特色沐浴及休闲娱乐设施，让你吃喝玩乐一条龙，随性的放松自己,0,i/a-8,,
【全国包邮】仅16.9元抢门市价25元黄山烧饼15个/袋*2 ，25.9元抢4袋，买4袋更划算，色泽金黄诱人，形如蟹壳，满口留香。,1,a-1,,
【鼓楼世茂滨江】喝正宗海南椰子鸡汤！88元抢原价278元海南特色椰子鸡2-3人餐，清远鸡一只+椰青+红糖糍粑+矿泉水+6种青菜！一锅用椰汁和恒大冰泉煮出来的高逼格鸡汤,0,a-3,,
"【全国包邮】仅26.9元抢门市价39元奇亚籽谷物酸奶果粒麦片420克*2袋 ,五选 二 ，低温烘培非油炸，香脆不上火。",1,a-1/a-5,,
【全国包邮|网红小零食】仅25.9元抢门市价38元雪花酥两袋，39.9元抢门市价76元雪花酥四袋！200g/袋， 好吃到停不下来！！    奶香味浓 入口香酥 ，大人、 小孩都可以吃哦~,1,a-1,,
【河西万达】仅88元购门市价346元【禾食·鲍鱼鸡】2人餐！太湖竹荪农家走地鸡半只+美国肥牛+潮州手打牛肉滑+有机蔬菜拼盘+水果嫩玉米+美味特色泡萝卜+无锡油面筋 +...,0,a-3,,
【谷兰语】天元东路|有音乐有酒有故事！29.9元抢门市价297元2-3人小吃啤酒简餐！繁花似锦、灯火阑珊  文艺的环境+醇香的美酒~  醉人的歌声+诱人的美食,0,n,,
【桥北弘阳时代中心】仅39.9元抢门市价696元镜面皮肤管理美甲套餐，纯色美甲、皮肤检测、肌肤吸尘器一次，你身边值得信赖的美肤管理大咖,0,k,,
【常发广场】39元抢原价396元OVBBESS生活馆美甲美睫套餐，纯色美甲（可跳2色）+美睫一次(120根），在这里回归元气仙女！,0,k,,
【全国通用】17.9元抢门市价25元肯德基原味鸡两份，性价比超高，还在等啥？赶紧抢啊！,0,a-1-1,,
【全国包邮除偏远地区】49.9元抢4大罐原价109元海于唱盐焗虎皮腰果，丰富营养，补充体能，健胃利脾~ 大人小孩全家适合，咸香松脆，越吃越香的健康小零食~~,1,a-1/a-7,,
【好特卖河西万达店】好吃点曲奇礼盒、小肥羊藤娇小酥肉、皇冠曲奇、好时巧克力...各种品牌好物，超低价格通通带回家,0,a-14,,
【千年珠宝|江苏27店通用】79元抢原价199元环环相扣钻石项链，89元抢原价289元四叶草水晶玛瑙项链，99元抢原价460元和田玉吊坠+银项链,0,s,,
【近天印大道地铁站|北京烤鸭店】78元享门市价310元双人套餐，138元门市价480元4人套餐，北京烤鸭、白灼大虾、清蒸白鱼....,0,a-3,,
【每日坚果】八种全球甄选坚果果干，仅39.9元=门市价139元【干趣每日坚果1箱30包】！科学配比，营养均衡；低温烘烤工艺，保留坚果营养.,1,a-1/a-7,,
直播秒杀【玄武诺富特酒店|自助餐】仅99元抢门市价228元一大一小自助餐，自助餐重磅升级 三文鱼又回来啦！ 品种繁多，口味丰富 红柳枝烤羊肉、碳烤生蚝、香辣冷串 花式美味，期待您的品鉴,0,a-2/a-5/a-8,限时,
【全国包邮】仅59元抢门市价220元德沃仕 焖烧壶焖烧保温保鲜三色随机发BS-203 500ml，不用火，不用电，美味佳肴随手成。,1,a-5,,
【茶薇甜|秦淮区】9.9元双人套餐！超多口味让你挑选！奶与茶相融合，解馋又解腻！,0,a-6,,
【森林摩尔】仅59元抢购原价154元辣味颂双人套餐，锅底+牛蛙4只+嫩爽鸭血+娃娃菜+玫瑰冰粉2份+特制酸梅汁，香气四溢、辣而不燥~,0,a-3/a-4,,
【全国包邮】仅38元抢门市价68元川娃子蒜蓉酱/蒜蓉剁椒酱，蒜蓉酱原味*2+剁椒*2 （240g/瓶），整整四瓶。,1,a-10,,
【小咩茶·羊乳奶茶】石鼓路店|一家有魔力的饮品店！呆萌可爱的小咩羊，一秒戳中少女心！9.9元双人饮品套餐！草莓柠檬冰+奶盖乌龙… ,0,a-6,,
【五店通用】仅45/69抢门市价108/168元Care one5寸/6寸动物奶油蛋糕，多种样式可选，超实惠！,0,a-14,,
"【鼓楼/美容养生】39元抢原价2176元千禧美容养生套餐，面部小V脸 ,眼部小熨斗,巨补水,单色美甲‘让你用最便宜的价格享受一次顶级的美容养生服务！",0,k,,
【汕头直发·京东冷链·全国包邮】正宗手打潮汕牛肉丸~仅79元抢3斤潮汕牛肉丸&牛筋丸套餐，送一包沙茶 +一包蒜头酥+一包辣皇酱！Q弹爽口，柔韧鲜嫩，是你不可错过的美味~,1,a-5,,
【全国包邮】【中华老字号东来顺羔羊蝎子 | 百年品牌清真食品 】福利价59元=门市价272元【东来顺秘制精选羊蝎子（五香）】百分百保证 ,1,a-2,,
【年产20w吨＋袁隆平 汪涵等强烈推荐 | 湖南长寿之乡长寿果 麻阳冰糖橙】仅29.9元尝鲜价=门市价68元冰糖橙 10斤大果装，甜似冰糖的彩箱大果！现摘现发，从果园到舌尖，一步到胃！,1,a-2,,
【两店通用】29.9元抢门市价1720元圣梦亲体美肤套餐，68元抢门市价860元圣梦亲体养生套餐，养护身体、精致面容从内而外为你的健康美丽事业护航,0,k,,
【全国包邮】仅198元抢门市价408元味艮浓苹果酒500ml* 6瓶/箱 ，微醺之美富硒苹果酒，萃取烟台苹果精华。,1,a-3,,
直播秒杀【全国包邮】19.9元抢黄山烧饼4袋，色泽金黄诱人，形如蟹壳，满口留香。,1,a-1,限时,
【全国包邮】仅39.9元抢门市价119元盐焗手剥巴旦木*4罐 ，49.9元抢6罐，买6罐更划算，轻轻一捏即享美味，果皮极薄，满口留香。,a,a-7,,
直播秒杀【百家湖地铁站旁】69元抢原价228元水秀苑大酒店单人自助餐，霸气开场，分分钟吃回本！超多种类 带着plus胃去，一次吃个够！,0,a-8,限时,
【随处旅行】9.9元抢588元酒店会员卡，全国住酒店2-9折，还有机会免费住希尔顿、洲际！,0,l/b,,
直播秒杀【全国包邮】仅99元抢门市价408元味艮浓苹果酒500ml* 6瓶/箱 ，微醺之美富硒苹果酒，萃取烟台苹果精华。,1,a-3,限时,
【全国包邮】仅49.9元抢门市价79元云南腾药牙龈修复牙膏，组合套装（冬青100g+留兰90g+绿茶120g+留兰25g+留兰25g）,1,c-2-1,,
直播秒杀【鼓楼世茂滨江】喝正宗海南椰子鸡汤！69元抢原价278元海南特色椰子鸡2-3人餐，清远鸡一只+椰青+红糖糍粑+矿泉水+6种青菜！一锅用椰汁和恒大冰泉煮出来的高逼格鸡汤,0,a-3,限时,
直播秒杀【森林摩尔】仅39元抢购原价154元辣味颂双人套餐，锅底+牛蛙4只+嫩爽鸭血+娃娃菜+玫瑰冰粉2份+特制酸梅汁，香气四溢、辣而不燥~,0,a-3,限时,
【河西万达，河西金鹰世界2店通用】99元享门市价151元【蓉李记穿巷成都名小吃】2~3人烤鱼！香辣烤鱼+口水鸡+鸡丝凉面+老成都炒饭+柠檬红茶+草堂乌梅饮,0,a-3,,
【天目湖】仅499元抢门市价699元御水温泉双人自由行，斯维登精品度假公寓典雅房/格林东方酒店高级房两大酒店任选一家，精美自助早餐2份，天目湖御水温泉成人门票2张。,0,b,,
【中央商场】1.9元SEVENBUS全场饮品任选一杯！南京首次发车！100杯饮品任你挑，承包整个冬天,0,a-6,,
【4店通用|蓉李记穿巷成都名小吃】仅66元购门市价91元2~3人小吃套餐！老成都臊子酸辣粉+宜宾燃面+狼牙土豆+荣城小笼包+蜜桃乌龙+草堂乌梅,0,a-10,,
【全国包邮】49.9元抢原价64元修正足浴包1袋（30包），特质草本配方，暖灸肤底畅达全身~,1,b-2,,
【全国包邮除偏远地区】49.9元购门市价199元【榴小姐六拼千层套餐】，包装冷链全新升级！一切只为给您最好的美食体验！六种不同口味千层+四种口味班戟！,1,a-2,,
【高淳金沙水城】29.9元抢原价59元单人浴资+自助餐，159元抢原价199元普通按摩+单人浴资+自助餐，179元抢原价219元金牌按摩+单人浴资+自助餐,0,h/i/a-8,,
【全国包邮】仅26.9元抢购门市价59元50片暖身贴，寒冷秋冬，驱寒暖宫。,1,c-4,秋冬,
【河西万达商圈】解放铲屎官的双手！仅19.9元抢门市价102元HelloMeow猫猫SPA套餐！专业耐心对待每一只猫猫！,0,r,,
【江宁区金箔路/碉堡烤鱼】仅88元抢原价208元特惠双人餐，烤鱼一条约3斤+配菜4个+热饮一扎+米饭2份！辛香麻辣的烤鱼，快约上朋友一起去~,0,a-2/a-13,,
"【江宁|诚信大道】仅98元享门市价298元【鲜牛社】2-3人餐烤涮一体火锅！,168元享门市价516元4人烤涮一体火锅套餐，超多肉肉，吃到扶墙出~",0,a-4,,
【百家湖地铁站旁】99元抢原价228元水秀苑大酒店单人自助餐，霸气开场，分分钟吃回本！超多种类 带着plus胃去，一次吃个够！,0,a-8,,
【樱璐吉日式料理】118元抢门市价494元3人餐！集庆路|日料控必扫！穿越小东京！纯日式风格，1:1复刻传统居酒屋！,0,a-11,,
直播秒杀【河西万达，河西金鹰世界2店通用】69元享门市价151元【蓉李记穿巷成都名小吃】2~3人烤鱼！香辣烤鱼+口水鸡+鸡丝凉面+老成都炒饭+柠檬红茶+草堂乌梅饮,0,a-3/a-13,限时,
【全国包邮】仅188元抢门市价360元雪花秀润燥精华 90ml/支，秋冬的安身立命之本！,1,d-1,秋冬,
直播秒杀【4店通用|蓉李记穿巷成都名小吃】仅49元购门市价91元2~3人小吃套餐！老成都臊子酸辣粉+宜宾燃面+狼牙土豆+荣城小笼包+蜜桃乌龙+草堂乌梅,0,a-10,限时,
【全国60多家民宿通用|免押金订房】仅788元抢原价1288元何所忆民宿卡！ 不限次数，不限房型，不限时间，无需押金！,0,b,,
直播秒杀！！【玄武诺富特酒店|自助餐】仅99元抢门市价228元一大一小自助餐，自助餐重磅升级 三文鱼又回来啦！ 品种繁多，口味丰富 红柳枝烤羊肉、碳烤生蚝、香辣冷串 花式美味，期待您的品鉴,0,a-8,限时,
直播秒杀【全国包邮】仅99元抢门市价438元味艮浓冰酒， 220ml* 2支，礼盒装。来自大自然的馈赠。,1,a-3,限时,
【德盈国际广场】仅39元抢原价3240元L.SPA美容美甲套餐： 面部补水/面 部深层清（二选 一）、 胸部腺体疏通 、 淋巴排毒、 暖巢保养 、纯色美甲/单部位脱毛（二选 一）、 肩颈月卡不限次 ，超多项目，让你从头美到指尖~,0,k,,
直播秒杀【全国包邮】35元抢原价64元修正足浴包1袋（30包），特质草本配方，暖灸肤底畅达全身~,1,b-2,限时,
【修身堂|万达广场】58元抢原价778元修身堂养生套餐，寒冷冬日养生休闲安排上~,0,k,,
【世茂52+】仅9.9元抢门市价499元美之裕美容美肤套餐：小气泡1次 水氧活肤1次 面部SPA1次 红蓝光1次 四选 二 ,0,k,,
【回味|76店通用】32.9元抢单人套餐劵（招牌鸭血粉丝汤）3张！始于1996！行走的南京老味道！,0,a-3/l,,
【四店通用|爱啃猪蹄】仅199元抢门市价398元爱啃猪蹄礼盒一份，含卤猪蹄2份，酱香牛肉一份，网红柠檬凤爪一份，纯手工香肠一份，秘制猪肘一份，黄金糕1袋。,0,a-10,,
【家居必备丨全国包邮】仅29.9元享门市价99元【舒贝丫简约包头棉拖鞋4双】舒适自在，透气棉布料，EVA鞋底，细腻毛巾棉 ！,1,c-4/e-2,秋冬,
【秦淮区/徐州烧烤小夫妻羊肉锅】仅88元抢原价229元，小夫妻现切羊肉锅一份，鸭血，青菜，粉丝，豆泡，年糕，豆芽，鸭头两只 ，让你吃到满足,0,a-4,,
【四店通用|爱啃猪蹄】仅11.9元抢门市价20元 柠檬酸辣凤爪一份，19.9元抢门市价40元卤猪蹄一份（半只），开胃小菜一份，果汁一份。,0,a-3,,
【三层防护口罩】22.9元抢原价79元50个装成人三层防护口罩，三层防护有效过滤！,1,c-1/b-2,,
【南京8店通用|轮库】~限时39.9元抢门市价550元的【轮库】洗车套餐，99元购门市价599元保养套餐，2次洗车春节期间也可用！,0,t,限时,
【仙鹤街|佰年足道】78元抢原价238元泰式按摩套餐，忙碌了这么久，是时候对自己好一点啦！来这里放松筋骨、疏通经络,0,h/i/a-8,,
【全南京配送】199元抢原价299元的单J级智利车厘子5斤装，宅家追剧小水果，圣诞节礼物！快安排起来吧！,1,a-2,,
【新街口|大头儿子鲜奶吧】13.9=两杯奶茶 门市价35元冬季养生暖饮，红枣谷物玛奇朵，养颜桃胶奶茶，蜜桃乌龙，三选 二 ,0,a-6,秋冬,
直播秒杀【四店通用|爱啃猪蹄】仅6.9元抢门市价20元 柠檬酸辣凤爪一份,0,a-3,,
直播秒杀【全国包邮】仅35元门市价98元的美龄妈咪银耳红枣莲子羹15g*6包/盒*2；,1,a-x/b-1/b-3,,
【经络堂养生套票12.25元抢限量30份】是时候给自己来一次全身放松啦！,0,h,,
【天河路】仅10.9元抢原价15元三品黑鸭鸭脖（约四两），仅13.9元抢原价18元3个鸭头，层层叠加的味道和营养，连骨头都入味~,0,a-15,,
【恋尚哥老官重庆美蛙鱼头】58元代218元代金券1张！新街口|凭借一只特色牛蛙，制霸火锅风云榜！地道食材，来自重庆的美味砖家！,0,a-4,,
直播限时秒杀【全国包邮】仅19.9元抢门市价49元朝暮食肆小海鲜大虾/扇贝，两种口味可选，麻辣味/迷人辣，二选 一，解馋不怕胖！,0,a-13,,
直播秒杀【四店通用|爱啃猪蹄】13.9元抢门市价40元卤猪蹄一份（半只），开胃小菜一份，果汁一份。,0,a-3/a15,,
【河西万达、尧化金地店|呷哺呷哺】新店开业！9.9元抢50元代金券！除酒水饮料全场通用！开一家火一家的美味~,0,a-4,,
【全国包邮】仅49.9元抢门市价79元的君乐宝涨芝士啦常温酸奶一箱200g*12瓶，浓缩更多营养，老人也能喝  一场味觉的艺术盛宴开始了！,1,a-8,,
【全国300+精品酒店免费住】仅668元抢“任享无限次-免费住酒店”随处·畅住卡1年使用期！超长使用期！全国有300多家精品酒店，不限次数！不限地区！不限房型！免费住~,0,b,,
【4店通用，节假日通用，无需预约】仅69元享门市价113元【蓉李记穿巷成都名小吃】2~3人小吃套餐！重庆小面+老坛酸菜鱼+麻辣豆腐+米饭+军炖锅盔+草堂乌梅,0,a-3,,
【和满楼】3店通用|29.8元抢门市价66元的双人早茶套餐！百忙中的“偷闲”时光！一起来体验地道的扬州早茶！美好的一天从一顿美味早茶开始,0,a-16,,
【景枫/仙林两店通用/青瓦醉巷】168元享门市价468元火锅套餐！奔驰火锅锅底4选3+青瓦四宝（毛肚+鸭肠+黄喉+千层肚）+牛蛙+霜降肥牛+牛羊拼盘+手工虾滑+蟹肉花+...,0,a-4,,
【尊宝比萨】南京7店|日销比萨62W+！49.9元抢门市价136元双人餐！火爆全国23年！,0,a-1-1,,
【水西门大街 | 羊老爷】119元享门市价252元羊老爷双人套餐！原味羊汤锅、精品羊羔卷、手切羊肉、乌鸡卷、鸭血…,0,a-3/a-4,,
【全国包邮】29.9元抢原价79元凡士林修护润唇膏2支，修护唇部，滋养保湿，冬日必备~,1,d-1,秋冬,
【家的味道·经典流传丨全国包邮】四袋仅需39.9元=官方价99.9元的【迪雀大黄米汤圆】Q弹易消化，一颗汤圆一口汤，馅料饱满，金灿灿的黄米皮，散发的诱人的热气，多种做法，口感香糯营养价值丰富！,1,a-5,,
【2店通用，无需预约，节假日通用】鱼你共享美味烤鱼！仅49.9享门市价89【蓉李记穿巷成都名小吃】2人烤鱼套餐！香辣烤鱼+川北凉粉+米饭 2份,0,a-2/a-13,,
【全国包邮】仅29.9元抢门市价138元奶乐楂酸奶山楂球两罐，酸与甜的巧妙碰撞，美味妙不可言~！,1,a-4,,
【龙眠大道地铁站】仅99元抢原价341元汉城山烤肉超值2-3人餐！降霜雪花牛肉+特味五花肉+锡盟羔羊+一品雪花培根+海苔手握饭+锡纸鱼豆腐+.....满满肉香福利，就等你来体验~,0,a-5,,
"【顺丰包邮】仅118元抢门市价198元顶诺整切西冷牛排，100g/片*10,赠刀叉一副+黑椒酱10袋，微微腌制，料理起来更省心~！",0,a-9,,
【老门东】1345温泉会馆元旦特惠！单人12小时洗浴票，49元起！20种水果，40种饮品畅饮畅喝，等你来玩！,0,i,,
【全国包邮】仅9.9元抢门市价29元儿童口罩，20只装，三层防护有效过滤！儿童尺寸紧贴舒适~！！,1,c-1/b-2,,
【江宁翠屏国际 | 沐槿宫】159元抢原价237元一大一小洗浴+自助，269元抢原价415元两大一小洗浴+自助，休闲放松，快和小伙伴一起打卡吧,0,i/a-8,,
【全国通用】随处畅游度假卡，999元5晚任意拆分，每晚仅需199元，两天一晚住星级酒店，承包您的5次假期~【激活后1年内有效】承包你的十一假期出游~,0,b/l,,
直播秒杀【秦淮区|仙鹤街】仅59元抢门市价232元蚝鲜生加油站双人套餐，高压锅蒸汽生蚝大号（6只）+清蒸红石斑+烤白虾（5串）+天尝里脊（10串 ）...饕餮海鲜盛宴，手掌大的生蚝！,0,a-13,限时,
直播秒杀【张府园地铁站】仅9.9元抢原价33元柒也家招牌手打虾滑1份+鳕鱼滑1份，享受吃虾滑的快乐~,0,a-10,限时,
【限江浙沪皖包邮】69元抢原价128元榴莲泡泡（30克*18粒）一盒，晶莹剔透的饼皮，包裹着沉甸甸的榴莲果肉，让你幸福到冒泡泡,1,a-4,,
直播秒杀【水西门大街】仅59元抢原价256元羊老爷羊肉锅 2-3人套餐！羔羊卷，手切羊肉，乌鸡卷，鸭血，墨鱼丸......朋友聚餐的绝佳选择~,0,a-4,限时,
【百家湖地铁站旁】88/169元抢原价228/456元水秀苑大酒店单人/双人自助餐，新西兰青口、阿拉斯加蟹脚、花蟹、海螺  毛蟹、皮皮虾、生蚝、扇贝...  霸气开场，分分钟吃回本！,0,a-8/a-13,,
【河西朗昇希尔顿】仅209元抢原价296元单人自助晚餐（可携带一名1.2米以下儿童）海鲜、甜品、日料……超多美食等你来吃~,0,a-8/a-11,,
【宁来汤】江广创艺工场|叮咚~快来领取专属你的秋日小温暖！19.9元单人浴资门票！来一场正宗的韩式汤泉之旅！ ,0,i,秋冬,
【全国包邮】19.9元抢原价29.9元小养冰淇淋吐司（420g/箱）/西瓜吐司（500g/箱），软润细腻的吐司，早餐下午点心安排上,1,a-4,,
【芭提小筑|两店通用】仅118/218元享原价388元/668元泰式按摩套餐，泰式环境大气精美，技艺精湛舒适身心，墙裂推荐给大家,0,h,,
【双十一特惠.全国包邮|香奈儿】仅158元抢原价330元香奈儿炫亮魅力口红1支！9款色号任选其一，知名大牌口红，精致女孩儿怎么能没有一支~,1,d-2,,
【六朝鸭业|夫子庙】39.9元抢原价79元现做3斤老卤鸭 ，南京老字号特产经营单位，做你爱吃的鸭！,0,a-15,,
【老鼓楼鸡鸣汤包/夫子庙店】26.8元抢原价122元家庭套餐！鸡汁汤包+鸭血粉丝汤+赤豆酒酿元宵或桂花糖芋苗，百年老店，不忘初心，品味最熟悉的老味道！,0,a-10,,
【超长使用期 周末通用】仅178元限时抢购门市价436温泉二次卡：苏州乐园四季悦温泉、嘉兴云澜湾温泉、张家港金凤凰温泉等六大温泉~ ,0,l/i,,
预售【高淳金沙水城】29.9元抢原价59元单人浴资+自助餐，159元抢原价199元普通按摩+单人浴资+自助餐，179元抢原价219元金牌按摩+单人浴资+自助餐,0,i/a-8,,
【新街口莱迪】9.9元抢原价15元陈记超值套餐，陈记秘制老长沙臭豆腐+里脊串，还不赶紧安排上去打卡哦~~,0,a-10,,
【南京温泉】499元抢原价1588元汤山一品双人温泉度假套餐！温泉3选1！2大1小！周末不加价！免费双早！入冬的仪式感，温泉安排！,0,e,,
【棒约翰】【南京两店通用】69.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】3选1+【小食】4选1+【饮品3选3】可复选，无限续杯,0,a-1-1,,
【新街口印象汇|追光映像】仅39元享门市价668元儿童摄影套餐！1对1专业化妆造型3组+3组服装+3组造型.（60-80张）+5张精修6寸单片..,0,m,,
直播秒杀【无需预约·南京水沐秦淮足道】养生，从足疗开始~仅需39.9元即可享门市价168元足疗套餐，60分钟足疗+饮品（6选1）+四格小吃【红茶、绿茶、大麦茶、 可乐、雪碧、矿泉水+：水果1份+小食3份】,0,h,限时,
直播秒杀【双店同庆，无需预约】一条能唤醒你味蕾的鱼~59元购门市价249元【藤娇&旺鱼】烤鱼套餐！湄公鱼泡饼 、花甲 、黄豆芽 、土豆片 、金针菇 、娃娃菜 、冰粉2份 、酸梅汁一扎,0,a-2/a-13,限时,
【优酷VIP会员】78元抢原价198元优酷会员年卡，海量大片+无广告+高清视听体验…还能探班爱豆！宅家看剧必备~会员抢先看正片,0,l,,
直播秒杀【新街口莱迪】6.9元抢原价15元陈记超值套餐，陈记秘制老长沙臭豆腐+里脊串，还不赶紧安排上去打卡哦~~,0,a-10,限时,
直播秒杀【两店通用】仅69元抢原价325元炉子旁烤肉2-3人餐！六款火爆肉食+裙带菜汤+酱料+气泡水3杯！网红烤肉盛宴等你来打卡~,0,a-5,限时,
直播秒杀【河西万达商圈】解放铲屎官的双手！仅12.9元抢门市价102元HelloMeow猫猫SPA套餐！专业耐心对待每一只猫猫！,0,r,限时,
【丸龟制面】新街口|年终钜惠！温暖整个冬季！39.9元抢门市价90元双人套餐！风靡世界各地的丸龟制面来袭！ ,0,a-10,,
【全国包邮】仅23.9元抢购门市价59元50片暖身贴（暖宫贴/暖心贴/暖宝宝），寒冷秋冬，驱寒暖宫。,1,c-4,秋冬,
【西鱿伏腰|石头城】新晋网红店！人均不到20元！39.9元抢门市价180元西鱿伏腰双人堂食套餐！,0,a-2,,
【小猪查理】北门桥|火爆北上广的小猪！带上你256G的胃！吃到扶墙出！129元抢午/晚市通用双人自助！选用四川凉山走地小香猪！ ,0,a-8,,
直播秒杀【仙鹤街|佰年足道】49元抢原价188元经典足疗套餐，低头族必囤~,0,h,限时,
【爱奇艺】16.9元抢原价25元爱奇艺黄金会员月卡，免广告，更流畅！多看6集，畅享高清影视！,0,l,,
直播秒杀【全国通用】仅38元抢价值1000元寄居蟹民宿体验卡Plus（单次），可连住2晚中端/1晚高端，新老客户都可使用！全国105+家精品民宿任你选，快来一次说走就走的旅行~,0,b,限时,
【大行宫1912街区•无需预约】可喝酒可烤肉的网红火锅来啦！9.9元抢购100元黑龙吃肉酒馆代金券一张，一站式体验酒吧+火锅的双重快乐！,0,a-4/n,,
直播秒杀【苏蜀传奇旋转小火锅】单人自助火锅+自助烧烤+饮料+冰激凌+水果，22.9元随便吃！这个老板到底闹哪样？超多菜品等你来解锁，还不来盘！,0,a-4/a-8,限时,
【财叔食尚馆】马府西街|57元烧鸡公双人套餐！鲜嫩多汁的鸡肉搭配上多种配菜！喊上小伙伴一起大口吃肉吧！ ,0,a-3,,
【 自嗨锅 | 半个娱乐圈明星都在吃！月销高达50万+！】仅49.9元起=门市价99元的【自嗨锅人气煲仔饭组合4盒】,0,a-3,,
39元抢购《断舍离》，全新断舍离，不止物品整理，浓缩18年断舍离践行推广经验，理论+实践全面升级,1,f,,
【全国通用】17.9元抢门市价25元肯德基脆皮原味鸡两份，性价比超高，还在等啥？赶紧抢啊！,0,a-1-1,,
直播秒杀【河西万达】仅69元购门市价346元【禾食·鲍鱼鸡】2人餐！太湖竹荪农家走地鸡半只+美国肥牛+潮州手打牛肉滑+有机蔬菜拼盘+水果嫩玉米+美味特色泡萝卜+无锡油面筋 +...,0,a-3,限时,
直播秒杀【五店通用】仅29.9元抢门市价108元Care one5寸动物奶油蛋糕，多种样式可选，超实惠！,0,a-14,限时,
直播秒杀【 地铁4号线龙江地铁站附近】仅19.9元抢原价79元百年澡堂单人洗浴+水果/饮料自助休闲娱乐，健康养生，好评5颗星，强烈推荐你！,0,i,限时,
【珠江路地铁口 炭火美蛙双人餐】仅88元抢门市价216元双人套餐，炭火美蛙五选一+随机配菜4种+酸梅汤一扎+2份米饭,0,a-3,,
【缤润汇/鹿町堂】仅9.9元抢门市价23元A套餐：招牌吐司4选一，或门市价21元B套餐芒芒大爆榨/爆汁葡萄， 二选 一 ，更多美味~总有一款适合你安排！,0,a-14/a-7,,
【新街口】25元抢原价50元苏香食里美食广场全场通用卡一张（馋游记、蒸菜世家、鱼之乐纸包鱼、刘酥肉除外）种类丰富又美味总能“命中”你的心和胃~！,0,l/a-x,,
【大行宫/执牛耳火锅自助】69元抢门市价118元单人自助，129元抢门市价236元双人自助。午晚通用，空前优惠，赶紧行动！快来抢购！！,0,a-4/a-8,,
【下马坊地铁站4号口/5寸杨汁甘露爆浆蛋糕】19.9元抢门市价88元蛋糕一个，39.9元抢门市价188元蛋糕1份+满天星/桔梗/小雏菊随机小花束1束(颜色随机)，来花吖，鲜花蛋糕全都满足你，仪式感满满~,0,a-14,,
【新街口莱迪广场】仅19.9元抢原价28元老外的果子烤榴莲1份（约80g）烤制过的榴莲味道更加浓郁，千万不能错过~,0,a-10,,
【龙眠大道地铁站】仅59.9元抢原价220元汉城山烤肉超值2-3人餐！5荤2素+海苔手握饭+柠檬水41扎！满满肉香福利，就等你来体验~,0,a-5,,
【多店通用/穿巷蓉李记】19.9元抢门市价46元A：单人套餐，76元抢门市价134元B：2-3人餐，太划算了吧！赶紧下单~,0,a-10,,
【全国包邮】仅199元抢原价550元纪梵希四宫格散粉，四种色号任选其一！四色融合，一步定格美颜~,1,d-2,,
【驱蚊喷雾】9.9元抢门市价39.9元Soffell 驱蚊喷雾两瓶（橘子味、玫瑰味各一瓶） 30ml/瓶 ，泰国配方，持久驱蚊~,1,c-5,,
【全国包邮】9.9元抢门市价39.9元，椰香小熊饼干整箱400克或沙琪玛400g（二选一），采用真材实料，香甜不腻，老少皆宜。,1,a-4,,
"【同曦万尚城】仅99元抢门市价489元巷口往事花胶鸡+烤串3-4人超值套餐,火锅和烧烤同时体验味觉上的双重满足，吃货们快来享受吧~！",0,a-2,,
